192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
192.168.1.1;modem
8.8.8.8;google
8.8.8.8;google
8.8.8.8;google
192.168.1.1;modem
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.168.0.1;router
192.125.55.54;aplicacion
255.5.1.0;aplicacion
179.60.208.1;swich1
179.60.208.2;swich2
